group,MUC_P,MUC_R,MUC_F1,B3_P,B3_R,B3_F1,CEAFe_P,CEAFe_R,CEAFe_F1,CoNLL_P,CoNLL_R,CoNLL_F1
CF,77.96692307692308,81.99692307692308,78.65153846153846,75.27153846153846,82.18846153846152,77.16692307692307,65.8623076923077,89.66461538461537,74.06769230769231,73.03358974358974,84.61666666666666,76.62871794871795
CZ,76.91,72.59076923076923,72.75461538461538,75.66538461538462,70.74076923076925,71.33461538461538,65.4423076923077,79.8223076923077,68.19923076923077,72.6725641025641,74.38461538461539,70.76282051282051
DF,61.964615384615385,85.48076923076923,69.65923076923079,58.85230769230769,83.73538461538462,66.68,61.60307692307692,85.90461538461538,69.48230769230769,60.806666666666665,85.0402564102564,68.6071794871795
DZ,71.00153846153846,75.50307692307693,68.81230769230768,68.50076923076922,75.52,66.79692307692308,66.02153846153847,80.42307692307692,69.41923076923078,68.50794871794871,77.14871794871794,68.34282051282051
